wv;n;k
714.46837;1.44621;6.43002
717.75555;1.45802;6.45696
721.04274;1.46983;6.48389
724.32993;1.48164;6.51083
727.61711;1.49345;6.53776
730.9043;1.50526;6.56469
734.19149;1.51706;6.59163
737.47867;1.52887;6.61856
740.76586;1.54068;6.64549
744.05304;1.55249;6.67243
747.34023;1.5643;6.69936
750.62742;1.57611;6.72629
753.9146;1.58792;6.75323
757.20179;1.59973;6.78016
760.48898;1.61154;6.80709
763.77616;1.62335;6.83403
767.06335;1.63516;6.86096
770.35054;1.64697;6.89254918
773.63772;1.65877;6.91483
776.92491;1.67058;6.94176
780.21209;1.68239;6.9728443
783.49928;1.6942;6.99563
786.78647;1.70601;7.02256
790.07365;1.71782;7.0495
793.36084;1.72963;7.07643
796.64803;1.74144;7.10336
799.93521;1.75325;7.1303
803.2224;1.76506;7.15723
806.50958;1.77687;7.18417
809.79677;1.78867;7.18417
813.08396;1.80048;7.23803
816.37114;1.81229;7.26497
819.65833;1.8241;7.31883
822.94552;1.83591;7.31883
826.2327;1.84772;7.34577
829.51989;1.86051;7.37083
832.80707;1.87341;7.39568
836.09425;1.88631;7.42052
839.38143;1.89921;7.44537
842.66861;1.91211;7.47021
845.9558;1.92501;7.49506
849.24298;1.93791;7.51991
852.53016;1.9508;7.54475
855.81734;1.9637;7.54475
859.10453;1.9766;7.59444
862.39171;1.9895;7.61929
865.67889;2.0024;7.64413
868.96607;2.0153;7.66898
872.25325;2.0282;7.69383
875.54044;2.0411;7.71867
878.82762;2.054;7.74352
882.1148;2.0669;7.76836
885.40198;2.0798;7.79321
888.68917;2.0927;7.81805
891.97635;2.10559;7.81805
895.26353;2.11849;7.86775
898.55071;2.13139;7.89259
901.83789;2.14429;7.91744
905.12508;2.15719;7.94228
908.41226;2.17009;7.96713
911.69944;2.18299;7.99197
914.98662;2.19589;8.01682
918.27381;2.20879;8.04167
921.56099;2.22169;8.06651
924.84817;2.23459;8.09136
928.13535;2.24749;8.1162
931.42253;2.26038;8.14105
934.70972;2.27328;8.16589
937.9969;2.28618;8.19074
941.28408;2.29908;8.21559
944.57126;2.31198;8.24043
947.85845;2.32488;8.26528
951.14563;2.33778;8.29012
954.43281;2.35068;8.31497
957.71999;2.36358;8.33981
961.00717;2.37648;8.36466
964.29436;2.38938;8.38951
967.58154;2.40227;8.41435
970.86872;2.41517;8.41435
974.1559;2.42807;8.46404
977.44309;2.44097;8.48889
980.73027;2.45387;8.51373
984.01745;2.46677;8.53858
987.30463;2.47967;8.56343
990.59181;2.49257;8.58827
993.87899;2.50604;8.61143
997.16617;2.51988;8.63348
1000.45335;2.53372;8.65554
1003.74053;2.54757;8.67759
1007.02771;2.56141;8.69964
1010.31489;2.57525;8.69964
1013.60206;2.58909;8.74375
1016.88924;2.60293;8.74375
1020.17642;2.61677;8.78786
1023.4636;2.63061;8.80991
1026.75078;2.64445;8.83196
1030.03796;2.65829;8.85402
1033.32514;2.67214;8.87607
1036.61231;2.68598;8.89812
1039.89949;2.69982;8.92018
1043.18667;2.71366;8.94223
1046.47385;2.7275;8.96429
1049.76103;2.74134;8.98634
1053.04821;2.75518;9.00839
1056.33538;2.76902;9.03045
1059.62256;2.78286;9.0525
1062.90974;2.7967;9.07455
1066.19692;2.81055;9.09661
1069.4841;2.82439;9.11866
1072.77128;2.83823;9.14071
1076.05845;2.85207;9.16277
1079.34563;2.86591;9.18482
1082.63281;2.87975;9.20687
1085.91999;2.89359;9.22893
1089.20717;2.90743;9.25098
1092.49435;2.92127;9.27303
1095.78152;2.93512;9.29509
1099.0687;2.94896;9.31714
1102.35588;2.9628;9.33919
1105.64306;2.97664;9.36125
1108.93024;2.99048;9.40536
1112.21742;3.00432;9.40536
1115.5046;3.01816;9.42741
1118.79177;3.032;9.44946
1122.07895;3.04584;9.47152
1125.36613;3.05969;9.49357
1128.65331;3.07353;9.51562
1131.94049;3.08737;9.53768
1135.22767;3.10121;9.55973
1138.51484;3.11505;9.58178
1141.80202;3.12889;9.60384
1145.0892;3.14273;9.62589
1148.37638;3.15657;9.64794
1151.66356;3.17041;9.64794
1154.95074;3.18425;9.69205
1158.23791;3.1981;9.73616
1161.52509;3.21194;9.73616
1164.81227;3.22578;9.75821
1168.09945;3.23962;9.78027
1171.38663;3.25346;9.80232
1174.67381;3.2673;9.82437
1177.96098;3.28114;9.84643
1181.24816;3.29498;9.86848
1184.53534;3.30882;9.89053
1187.82252;3.32267;9.91259
1191.1097;3.33651;9.93464
1194.39688;3.35035;9.95669
1197.68406;3.36419;9.97875
1200.97123;3.37803;10.0008
1204.25841;3.39187;10.02285
1207.54559;3.40571;10.04491
1210.83277;3.41955;10.06696
1214.11995;3.43339;10.08901
1217.40713;3.44724;10.11107
1220.6943;3.46108;10.13312
1223.98148;3.47492;10.15517
1227.26866;3.48876;10.17723
1230.55584;3.5026;10.19928
1233.84302;3.51644;10.22134
1237.1302;3.53028;10.24339
1240.41737;3.54419;10.24339
1243.70455;3.55843;10.28309
1246.99173;3.57267;10.30137
1250.2789;3.58691;10.31966
1253.56608;3.60114;10.33794
1256.85326;3.61538;10.35623
1260.14043;3.62962;10.37451
1263.42761;3.64386;10.39279
1266.71479;3.6581;10.41108
1270.00196;3.67234;10.42936
1273.28914;3.68657;10.44765
1276.57632;3.70081;10.46593
1279.86349;3.71505;10.48422
1283.15067;3.72929;10.52079
1286.43785;3.74353;10.52079
1289.72502;3.75777;10.53907
1293.0122;3.772;10.55735
1296.29938;3.78624;10.57564
1299.58655;3.80048;10.59392
1302.87373;3.81472;10.61221
1306.16091;3.82896;10.63049
1309.44808;3.84319;10.64878
1312.73526;3.85743;10.66706
1316.02244;3.87167;10.68535
1319.30961;3.88591;10.70363
1322.59679;3.90015;10.72192
1325.88397;3.91439;10.75848
1329.17114;3.92862;10.75848
1332.45832;3.94286;10.77677
1335.7455;3.9571;10.79505
