wv;n;k
491.72;1.635967;0.003792
493.31;1.63526;0.003877
494.9;1.634568;0.003986
496.5;1.633893;0.004117
498.09;1.633238;0.004269
499.69;1.632604;0.004442
501.28;1.631994;0.004634
502.87;1.631411;0.004843
504.47;1.630856;0.005065
506.06;1.63033;0.005299
507.65;1.629835;0.005542
509.25;1.629372;0.005789
510.84;1.628941;0.006038
512.43;1.628541;0.006284
514.03;1.628172;0.006525
515.62;1.627832;0.006757
517.21;1.62752;0.006977
518.81;1.627232;0.007181
520.4;1.626967;0.007367
521.99;1.626721;0.007533
523.58;1.626491;0.007677
525.18;1.626272;0.007798
526.77;1.626061;0.007895
528.36;1.625854;0.007968
529.95;1.625647;0.008017
531.55;1.625436;0.008043
533.14;1.625217;0.008049
534.73;1.624987;0.008036
536.32;1.624742;0.008007
537.91;1.62448;0.007965
539.51;1.624198;0.007913
541.1;1.623896;0.007856
542.69;1.623571;0.007797
544.28;1.623223;0.00774
545.87;1.622852;0.00769
547.46;1.622459;0.00765
549.05;1.622044;0.007625
550.65;1.62161;0.007618
552.24;1.621158;0.007634
553.83;1.620691;0.007675
555.42;1.620212;0.007744
557.01;1.619725;0.007844
558.6;1.619233;0.007978
560.19;1.618741;0.008146
561.78;1.618252;0.008349
563.37;1.617771;0.008589
564.96;1.617302;0.008865
566.55;1.61685;0.009177
568.14;1.616419;0.009524
569.73;1.616013;0.009903
571.32;1.615637;0.010314
572.91;1.615293;0.010753
574.5;1.614985;0.011218
576.09;1.614717;0.011704
577.68;1.614491;0.01221
579.27;1.614309;0.012729
580.86;1.614173;0.013259
582.45;1.614084;0.013795
584.03;1.614043;0.014333
585.62;1.614051;0.014867
587.21;1.614107;0.015394
588.8;1.61421;0.015909
590.39;1.61436;0.016407
591.98;1.614554;0.016885
593.57;1.614791;0.017337
595.15;1.615069;0.017762
596.74;1.615384;0.018155
598.33;1.615734;0.018513
599.92;1.616115;0.018833
601.51;1.616523;0.019113
603.09;1.616956;0.019351
604.68;1.617409;0.019545
606.27;1.617877;0.019695
607.86;1.618358;0.019799
609.44;1.618847;0.019856
611.03;1.61934;0.019868
612.62;1.619834;0.019834
614.2;1.620323;0.019755
615.79;1.620806;0.019632
617.38;1.621278;0.019467
618.96;1.621737;0.019261
620.55;1.622178;0.019015
622.13;1.622601;0.018733
623.72;1.623001;0.018416
625.31;1.623377;0.018067
626.89;1.623727;0.017689
628.48;1.624049;0.017283
630.06;1.624342;0.016854
631.65;1.624604;0.016403
633.23;1.624836;0.015933
634.82;1.625035;0.015448
636.4;1.625203;0.014949
637.99;1.625338;0.01444
639.57;1.625442;0.013923
641.16;1.625513;0.0134
642.74;1.625554;0.012875
644.33;1.625563;0.012349
645.91;1.625543;0.011824
647.5;1.625494;0.011303
649.08;1.625418;0.010786
650.66;1.625315;0.010277
652.25;1.625186;0.009776
653.83;1.625034;0.009285
655.41;1.624859;0.008805
657;1.624663;0.008337
658.58;1.624447;0.007881
660.16;1.624213;0.00744
661.75;1.623962;0.007013
663.33;1.623696;0.006602
664.91;1.623415;0.006205
666.49;1.623123;0.005825
668.08;1.622818;0.00546
669.66;1.622504;0.005111
671.24;1.622182;0.004778
672.82;1.621851;0.004461
674.41;1.621515;0.00416
675.99;1.621173;0.003874
677.57;1.620826;0.003603
679.15;1.620476;0.003347
680.73;1.620124;0.003106
682.31;1.61977;0.002878
683.89;1.619415;0.002664
685.47;1.61906;0.002463
687.06;1.618705;0.002275
688.64;1.618351;0.002099
690.22;1.617998;0.001934
691.8;1.617648;0.00178
693.38;1.617299;0.001637
694.96;1.616953;0.001504
696.54;1.616611;0.00138
698.12;1.616271;0.001265
699.7;1.615934;0.001159
701.27;1.615602;0.00106
702.85;1.615273;0.000969
704.43;1.614947;0.000885
706.01;1.614626;0.000807
707.59;1.614308;0.000736
709.17;1.613995;0.00067
710.75;1.613685;0.00061
712.33;1.61338;0.000554
713.9;1.613078;0.000504
715.48;1.61278;0.000457
717.06;1.612486;0.000415
718.64;1.612196;0.000376
720.22;1.611909;0.00034
721.79;1.611625;0.000308
723.37;1.611346;0.000278
724.95;1.611069;0.000252
726.52;1.610795;0.000227
728.1;1.610525;0.000205
729.68;1.610257;0.000185
731.25;1.609992;0.000167
732.83;1.609729;0.000151
734.41;1.609469;0.000136
735.98;1.609212;0.000123
737.56;1.608956;0.000111
739.13;1.608702;0.000101
740.71;1.60845;0.000092
742.29;1.608199;0.000084
743.86;1.60795;0.000077
745.44;1.607703;0.000071
747.01;1.607456;0.000066
748.59;1.60721;0.000062
750.16;1.606965;0.000059
751.73;1.606721;0.000057
753.31;1.606477;0.000056
754.88;1.606233;0.000056
756.46;1.605989;0.000057
758.03;1.605746;0.000059
759.6;1.605501;0.000062
761.18;1.605257;0.000067
762.75;1.605012;0.000073
764.32;1.604766;0.000081
765.9;1.604519;0.00009
767.47;1.604271;0.000101
769.04;1.604022;0.000114
770.61;1.603772;0.000129
772.19;1.60352;0.000147
773.76;1.603266;0.000167
775.33;1.603011;0.00019
776.9;1.602755;0.000216
778.47;1.602496;0.000245
780.04;1.602236;0.000278
781.62;1.601974;0.000315
783.19;1.601709;0.000356
784.76;1.601444;0.000402
786.33;1.601176;0.000453
787.9;1.600907;0.000509
789.47;1.600636;0.000571
791.04;1.600364;0.000638
792.61;1.60009;0.000712
794.18;1.599816;0.000793
795.75;1.599541;0.000881
797.32;1.599265;0.000976
798.89;1.598989;0.00108
800.46;1.598714;0.001191
802.02;1.598439;0.001311
803.59;1.598165;0.001439
805.16;1.597893;0.001577
806.73;1.597623;0.001724
808.3;1.597356;0.00188
809.87;1.597092;0.002046
811.43;1.596832;0.002222
